,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,1938,Norway,11,26.1,,1,11,120,1.3,1,,,1,0,,0,0,,,,,,,0.75,,,0.75,,,,,,,/en/squads/599eba19/1938/Norway-Men-Stats
INT-World Cup,1938,Poland,11,25.0,,1,11,120,1.3,5,,,4,1,,0,0,,,,,,,3.75,,,3.0,,,,,,,/en/squads/8912dcf0/1938/Poland-Men-Stats
INT-World Cup,1938,Romania,16,26.6,,2,24,210,2.3,4,,,4,0,,0,0,,,,,,,1.71,,,1.71,,,,,,,/en/squads/7def9493/1938/Romania-Men-Stats
INT-World Cup,1938,Sweden,15,26.7,,3,33,270,3.0,11,,,11,0,,0,0,,,,,,,3.67,,,3.67,,,,,,,/en/squads/296f69e7/1938/Sweden-Men-Stats
INT-World Cup,1938,Switzerland,13,26.1,,3,33,300,3.3,5,,,5,0,,0,0,,,,,,,1.5,,,1.5,,,,,,,/en/squads/81021a70/1938/Switzerland-Men-Stats
INT-World Cup,1950,Bolivia,11,25.7,,1,11,90,1.0,0,,,0,0,,0,0,,,,,,,0.0,,,0.0,,,,,,,/en/squads/1bd2760c/1950/Bolivia-Men-Stats
INT-World Cup,1950,Brazil,17,27.4,,6,66,540,6.0,21,,,21,0,,1,0,,,,,,,3.5,,,3.5,,,,,,,/en/squads/304635c3/1950/Brazil-Men-Stats
INT-World Cup,1950,Chile,16,24.8,,3,33,270,3.0,5,,,5,0,,0,0,,,,,,,1.67,,,1.67,,,,,,,/en/squads/7fd9c2a2/1950/Chile-Men-Stats
INT-World Cup,1950,England,15,27.7,,3,33,270,3.0,2,,,2,0,,0,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/1862c019/1950/England-Men-Stats
INT-World Cup,1950,Italy,18,27.0,,2,22,180,2.0,4,,,4,0,,0,0,,,,,,,2.0,,,2.0,,,,,,,/en/squads/998c5958/1950/Italy-Men-Stats
INT-World Cup,1950,Mexico,17,24.9,,3,33,270,3.0,2,,,1,1,,0,0,,,,,,,0.67,,,0.33,,,,,,,/en/squads/b009a548/1950/Mexico-Men-Stats
INT-World Cup,1950,Paraguay,11,27.0,,2,22,180,2.0,2,,,2,0,,0,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/d2043442/1950/Paraguay-Men-Stats
INT-World Cup,1950,Spain,18,26.2,,6,66,540,6.0,10,,,10,0,,0,0,,,,,,,1.67,,,1.67,,,,,,,/en/squads/b561dd30/1950/Spain-Men-Stats
INT-World Cup,1950,Sweden,15,26.7,,5,55,450,5.0,11,,,10,1,,0,0,,,,,,,2.2,,,2.0,,,,,,,/en/squads/296f69e7/1950/Sweden-Men-Stats
INT-World Cup,1950,Switzerland,13,27.8,,3,33,270,3.0,4,,,4,0,,0,0,,,,,,,1.33,,,1.33,,,,,,,/en/squads/81021a70/1950/Switzerland-Men-Stats
INT-World Cup,1950,United States,12,26.2,,3,33,270,3.0,4,,,3,1,,0,0,,,,,,,1.33,,,1.0,,,,,,,/en/squads/0f66725b/1950/United-States-Men-Stats
INT-World Cup,1950,Uruguay,14,26.1,,4,44,360,4.0,15,,,15,0,,0,0,,,,,,,3.75,,,3.75,,,,,,,/en/squads/870e020f/1950/Uruguay-Men-Stats
INT-World Cup,1950,Yugoslavia,13,27.0,,3,33,270,3.0,7,,,7,0,,0,0,,,,,,,2.33,,,2.33,,,,,,,/en/squads/7dc9f983/1950/Yugoslavia-Men-Stats
INT-World Cup,1954,Austria,15,27.0,,5,55,450,5.0,16,,,15,1,,0,0,,,,,,,3.2,,,3.0,,,,,,,/en/squads/d5121f10/1954/Austria-Men-Stats
INT-World Cup,1954,Belgium,12,27.0,,2,22,210,2.3,4,,,4,0,,0,0,,,,,,,1.71,,,1.71,,,,,,,/en/squads/361422b9/1954/Belgium-Men-Stats
INT-World Cup,1954,Brazil,14,26.2,,3,33,300,3.3,8,,,7,1,,0,2,,,,,,,2.4,,,2.1,,,,,,,/en/squads/304635c3/1954/Brazil-Men-Stats
INT-World Cup,1954,Czechoslovakia,14,25.3,,2,22,180,2.0,0,,,0,0,,0,0,,,,,,,0.0,,,0.0,,,,,,,/en/squads/969248b8/1954/Czechoslovakia-Men-Stats
INT-World Cup,1954,England,14,29.6,,3,33,300,3.3,8,,,8,0,,0,0,,,,,,,2.4,,,2.4,,,,,,,/en/squads/1862c019/1954/England-Men-Stats
INT-World Cup,1954,France,14,25.0,,2,22,180,2.0,2,,,1,1,,0,0,,,,,,,1.0,,,0.5,,,,,,,/en/squads/b1b36dcd/1954/France-Men-Stats
INT-World Cup,1954,Germany,18,28.2,,6,66,540,6.0,24,,,22,2,,0,0,,,,,,,4.0,,,3.67,,,,,,,/en/squads/c1e40422/1954/Germany-Men-Stats
INT-World Cup,1954,Hungary,15,27.4,,5,55,480,5.3,27,,,26,1,,0,1,,,,,,,5.06,,,4.87,,,,,,,/en/squads/b4ac5e97/1954/Hungary-Men-Stats
INT-World Cup,1954,Italy,17,26.8,,3,33,270,3.0,6,,,5,1,,0,0,,,,,,,2.0,,,1.67,,,,,,,/en/squads/998c5958/1954/Italy-Men-Stats
INT-World Cup,1954,Korea Republic,18,29.5,,2,22,180,2.0,0,,,0,0,,0,0,,,,,,,0.0,,,0.0,,,,,,,/en/squads/473f0fbf/1954/Korea-Republic-Men-Stats
INT-World Cup,1954,Mexico,13,25.5,,2,22,180,2.0,2,,,2,0,,0,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/b009a548/1954/Mexico-Men-Stats
INT-World Cup,1954,Scotland,11,27.0,,2,22,180,2.0,0,,,0,0,,0,0,,,,,,,0.0,,,0.0,,,,,,,/en/squads/602d3994/1954/Scotland-Men-Stats
INT-World Cup,1954,Switzerland,14,27.7,,4,44,360,4.0,11,,,11,0,,0,0,,,,,,,2.75,,,2.75,,,,,,,/en/squads/81021a70/1954/Switzerland-Men-Stats
INT-World Cup,1954,Türkiye,15,24.5,,3,33,270,3.0,10,,,10,0,,0,0,,,,,,,3.33,,,3.33,,,,,,,/en/squads/ac6bcf92/1954/Turkiye-Men-Stats
INT-World Cup,1954,Uruguay,15,26.9,,5,55,480,5.3,16,,,16,0,,0,0,,,,,,,3.0,,,3.0,,,,,,,/en/squads/870e020f/1954/Uruguay-Men-Stats
INT-World Cup,1954,Yugoslavia,12,26.9,,3,33,300,3.3,2,,,2,0,,0,0,,,,,,,0.6,,,0.6,,,,,,,/en/squads/7dc9f983/1954/Yugoslavia-Men-Stats
INT-World Cup,1958,Argentina,14,28.3,,3,33,270,3.0,5,,,3,2,,0,0,,,,,,,1.67,,,1.0,,,,,,,/en/squads/f9fddd6e/1958/Argentina-Men-Stats
INT-World Cup,1958,Austria,16,26.8,,3,33,270,3.0,2,,,2,0,,0,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/d5121f10/1958/Austria-Men-Stats
INT-World Cup,1958,Brazil,16,25.9,,6,66,540,6.0,16,,,16,0,,0,0,,,,,,,2.67,,,2.67,,,,,,,/en/squads/304635c3/1958/Brazil-Men-Stats
INT-World Cup,1958,Czechoslovakia,16,25.1,,4,44,390,4.3,9,,,8,1,,0,1,,,,,,,2.08,,,1.85,,,,,,,/en/squads/969248b8/1958/Czechoslovakia-Men-Stats
INT-World Cup,1958,England,15,26.0,,5,44,360,4.0,4,,,3,1,,0,0,,,,,,,1.0,,,0.75,,,,,,,/en/squads/1862c019/1958/England-Men-Stats
INT-World Cup,1958,France,15,27.2,,6,66,540,6.0,23,,,22,1,,0,0,,,,,,,3.83,,,3.67,,,,,,,/en/squads/b1b36dcd/1958/France-Men-Stats
INT-World Cup,1958,Hungary,16,26.7,,4,44,360,4.0,7,,,7,0,,0,1,,,,,,,1.75,,,1.75,,,,,,,/en/squads/b4ac5e97/1958/Hungary-Men-Stats
INT-World Cup,1958,Mexico,17,26.5,,3,33,270,3.0,1,,,1,0,,0,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/b009a548/1958/Mexico-Men-Stats
INT-World Cup,1958,Northern Ireland,15,27.3,,5,55,480,5.3,6,,,6,0,,0,0,,,,,,,1.13,,,1.13,,,,,,,/en/squads/16944ae1/1958/Northern-Ireland-Men-Stats
INT-World Cup,1958,Paraguay,13,23.9,,3,33,270,3.0,9,,,8,1,,0,0,,,,,,,3.0,,,2.67,,,,,,,/en/squads/d2043442/1958/Paraguay-Men-Stats
INT-World Cup,1958,Scotland,17,27.8,,3,33,270,3.0,4,,,4,0,,0,0,,,,,,,1.33,,,1.33,,,,,,,/en/squads/602d3994/1958/Scotland-Men-Stats
INT-World Cup,1958,Soviet Union,14,28.1,,6,55,450,5.0,5,,,5,0,,0,0,,,,,,,1.0,,,1.0,,,,,,,/en/squads/eb70026e/1958/Soviet-Union-Men-Stats
INT-World Cup,1958,Sweden,16,29.5,,6,66,540,6.0,12,,,11,1,,0,0,,,,,,,2.0,,,1.83,,,,,,,/en/squads/296f69e7/1958/Sweden-Men-Stats
INT-World Cup,1958,Wales,14,26.2,,5,55,450,5.0,4,,,4,0,,0,0,,,,,,,0.8,,,0.8,,,,,,,/en/squads/b1bbcad3/1958/Wales-Men-Stats
INT-World Cup,1958,West Germany,18,27.6,,6,66,540,6.0,12,,,12,0,,0,1,,,,,,,2.0,,,2.0,,,,,,,/en/squads/c1e40422/1958/West-Germany-Men-Stats
INT-World Cup,1958,Yugoslavia,14,26.8,,4,44,360,4.0,7,,,7,0,,0,0,,,,,,,1.75,,,1.75,,,,,,,/en/squads/7dc9f983/1958/Yugoslavia-Men-Stats
INT-World Cup,1962,Argentina,19,25.5,,3,33,270,3.0,2,,,2,0,,1,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/f9fddd6e/1962/Argentina-Men-Stats
INT-World Cup,1962,Brazil,12,30.3,,6,66,540,6.0,14,,,14,0,,0,1,,,,,,,2.33,,,2.33,,,,,,,/en/squads/304635c3/1962/Brazil-Men-Stats
INT-World Cup,1962,Bulgaria,17,25.3,,3,33,270,3.0,1,,,1,0,,0,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/06d209d4/1962/Bulgaria-Men-Stats
INT-World Cup,1962,Chile,17,25.8,,6,66,540,6.0,10,,,9,1,,0,1,,,,,,,1.67,,,1.5,,,,,,,/en/squads/7fd9c2a2/1962/Chile-Men-Stats
INT-World Cup,1962,Colombia,15,26.0,,3,33,270,3.0,5,,,4,1,,0,0,,,,,,,1.67,,,1.33,,,,,,,/en/squads/ab73cfe5/1962/Colombia-Men-Stats
INT-World Cup,1962,Czechoslovakia,15,26.5,,6,66,540,6.0,7,,,6,1,,0,0,,,,,,,1.17,,,1.0,,,,,,,/en/squads/969248b8/1962/Czechoslovakia-Men-Stats
INT-World Cup,1962,England,12,25.7,,4,44,360,4.0,5,,,3,2,,0,0,,,,,,,1.25,,,0.75,,,,,,,/en/squads/1862c019/1962/England-Men-Stats
INT-World Cup,1962,Hungary,15,26.0,,4,44,360,4.0,8,,,8,0,,0,0,,,,,,,2.0,,,2.0,,,,,,,/en/squads/b4ac5e97/1962/Hungary-Men-Stats
INT-World Cup,1962,Italy,20,25.4,,3,33,270,3.0,3,,,3,0,,0,2,,,,,,,1.0,,,1.0,,,,,,,/en/squads/998c5958/1962/Italy-Men-Stats
INT-World Cup,1962,Mexico,13,27.7,,3,33,270,3.0,3,,,2,1,,0,0,,,,,,,1.0,,,0.67,,,,,,,/en/squads/b009a548/1962/Mexico-Men-Stats
INT-World Cup,1962,Soviet Union,15,26.9,,4,44,360,4.0,9,,,9,0,,0,0,,,,,,,2.25,,,2.25,,,,,,,/en/squads/eb70026e/1962/Soviet-Union-Men-Stats
INT-World Cup,1962,Spain,20,28.2,,3,33,270,3.0,2,,,2,0,,0,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/b561dd30/1962/Spain-Men-Stats
INT-World Cup,1962,Switzerland,14,27.5,,3,33,270,3.0,2,,,2,0,,0,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/81021a70/1962/Switzerland-Men-Stats
INT-World Cup,1962,Uruguay,14,24.4,,3,33,270,3.0,4,,,4,0,,0,1,,,,,,,1.33,,,1.33,,,,,,,/en/squads/870e020f/1962/Uruguay-Men-Stats
INT-World Cup,1962,West Germany,14,25.8,,4,44,360,4.0,4,,,3,1,,0,0,,,,,,,1.0,,,0.75,,,,,,,/en/squads/c1e40422/1962/West-Germany-Men-Stats
INT-World Cup,1962,Yugoslavia,17,24.2,,6,66,540,6.0,10,,,9,1,,0,1,,,,,,,1.67,,,1.5,,,,,,,/en/squads/7dc9f983/1962/Yugoslavia-Men-Stats
INT-World Cup,1966,Argentina,12,26.1,,4,44,360,4.0,4,,,4,0,,3,2,,,,,,,1.0,,,1.0,,,,,,,/en/squads/f9fddd6e/1966/Argentina-Men-Stats
INT-World Cup,1966,Brazil,20,26.7,,3,33,270,3.0,4,,,4,0,,1,0,,,,,,,1.33,,,1.33,,,,,,,/en/squads/304635c3/1966/Brazil-Men-Stats
INT-World Cup,1966,Bulgaria,17,25.4,,3,33,270,3.0,1,,,1,0,,3,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/06d209d4/1966/Bulgaria-Men-Stats
INT-World Cup,1966,Chile,14,24.8,,3,33,270,3.0,2,,,1,1,,1,0,,,,,,,0.67,,,0.33,,,,,,,/en/squads/7fd9c2a2/1966/Chile-Men-Stats
INT-World Cup,1966,England,15,26.4,,6,66,570,6.3,11,,,11,0,,2,0,,,,,,,1.74,,,1.74,,,,,,,/en/squads/1862c019/1966/England-Men-Stats
INT-World Cup,1966,France,14,25.6,,3,33,270,3.0,2,,,1,1,,0,0,,,,,,,0.67,,,0.33,,,,,,,/en/squads/b1b36dcd/1966/France-Men-Stats
INT-World Cup,1966,Hungary,14,25.9,,4,44,360,4.0,7,,,6,1,,0,0,,,,,,,1.75,,,1.5,,,,,,,/en/squads/b4ac5e97/1966/Hungary-Men-Stats
INT-World Cup,1966,Italy,18,25.3,,3,33,270,3.0,2,,,2,0,,0,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/998c5958/1966/Italy-Men-Stats
INT-World Cup,1966,Korea DPR,16,22.3,,4,44,360,4.0,5,,,5,0,,0,0,,,,,,,1.25,,,1.25,,,,,,,/en/squads/42c4106c/1966/Korea-DPR-Men-Stats
INT-World Cup,1966,Mexico,15,25.2,,3,33,270,3.0,1,,,1,0,,0,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/b009a548/1966/Mexico-Men-Stats
INT-World Cup,1966,Portugal,15,27.3,,6,66,540,6.0,16,,,12,4,,2,0,,,,,,,2.67,,,2.0,,,,,,,/en/squads/4a1b4ea8/1966/Portugal-Men-Stats
INT-World Cup,1966,Soviet Union,21,25.8,,6,66,540,6.0,10,,,10,0,,3,1,,,,,,,1.67,,,1.67,,,,,,,/en/squads/eb70026e/1966/Soviet-Union-Men-Stats
INT-World Cup,1966,Spain,18,26.4,,3,33,270,3.0,4,,,4,0,,1,0,,,,,,,1.33,,,1.33,,,,,,,/en/squads/b561dd30/1966/Spain-Men-Stats
INT-World Cup,1966,Switzerland,19,27.2,,3,33,270,3.0,1,,,1,0,,0,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/81021a70/1966/Switzerland-Men-Stats
INT-World Cup,1966,Uruguay,13,26.5,,4,44,360,4.0,2,,,2,0,,1,2,,,,,,,0.5,,,0.5,,,,,,,/en/squads/870e020f/1966/Uruguay-Men-Stats
INT-World Cup,1966,West Germany,14,25.2,,6,66,570,6.3,15,,,14,1,,4,0,,,,,,,2.37,,,2.21,,,,,,,/en/squads/c1e40422/1966/West-Germany-Men-Stats
INT-World Cup,1970,Belgium,13,25.9,,3,33,270,3.0,4,,,3,1,,2,0,,,,,,,1.33,,,1.0,,,,,,,/en/squads/361422b9/1970/Belgium-Men-Stats
INT-World Cup,1970,Brazil,16,26.1,,6,66,540,6.0,19,,,19,0,,4,0,,,,,,,3.17,,,3.17,,,,,,,/en/squads/304635c3/1970/Brazil-Men-Stats
INT-World Cup,1970,Bulgaria,20,26.2,,3,33,270,3.0,5,,,5,0,,0,0,,,,,,,1.67,,,1.67,,,,,,,/en/squads/06d209d4/1970/Bulgaria-Men-Stats
INT-World Cup,1970,Czechoslovakia,19,25.6,,3,33,270,3.0,2,,,2,0,,3,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/969248b8/1970/Czechoslovakia-Men-Stats
INT-World Cup,1970,El Salvador,17,25.5,,3,33,270,3.0,0,,,0,0,,4,0,,,,,,,0.0,,,0.0,,,,,,,/en/squads/fc3dbeaa/1970/El-Salvador-Men-Stats
INT-World Cup,1970,England,19,27.8,,4,44,390,4.3,4,,,3,1,,2,0,,,,,,,0.92,,,0.69,,,,,,,/en/squads/1862c019/1970/England-Men-Stats
INT-World Cup,1970,Israel,15,23.5,,3,33,270,3.0,1,,,1,0,,4,0,,,,,,,0.33,,,0.33,,,,,,,/en/squads/b36227ec/1970/Israel-Men-Stats
INT-World Cup,1970,Italy,17,27.6,,6,66,570,6.3,9,,,9,0,,6,0,,,,,,,1.42,,,1.42,,,,,,,/en/squads/998c5958/1970/Italy-Men-Stats
INT-World Cup,1970,Mexico,17,28.3,,4,44,360,4.0,6,,,5,1,,3,0,,,,,,,1.5,,,1.25,,,,,,,/en/squads/b009a548/1970/Mexico-Men-Stats
INT-World Cup,1970,Morocco,17,24.7,,3,39,270,3.0,2,,,2,0,,0,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/af41ccda/1970/Morocco-Men-Stats
INT-World Cup,1970,Peru,18,25.6,,4,44,360,4.0,9,,,9,0,,0,0,,,,,,,2.25,,,2.25,,,,,,,/en/squads/f711c854/1970/Peru-Men-Stats
INT-World Cup,1970,Romania,14,24.5,,3,33,270,3.0,4,,,3,1,,3,0,,,,,,,1.33,,,1.0,,,,,,,/en/squads/7def9493/1970/Romania-Men-Stats
INT-World Cup,1970,Soviet Union,17,26.2,,4,44,390,4.3,6,,,6,0,,6,0,,,,,,,1.38,,,1.38,,,,,,,/en/squads/eb70026e/1970/Soviet-Union-Men-Stats
INT-World Cup,1970,Sweden,19,26.7,,3,33,270,3.0,2,,,2,0,,2,0,,,,,,,0.67,,,0.67,,,,,,,/en/squads/296f69e7/1970/Sweden-Men-Stats
